chapter,page,line,cam_1882,cam_NYE,change_type,is_dialogue_tag,art_reference,art_topic
3,21,30,her hair was puffed out very much,her hair was fastened with strange bedroomy combs,,,,
3,21,34,"she had expressed great disgust with the place,",she had protested against its laws,,,,
3,22,15,"relations almost human, or dramatic","relations almost human, certainly dramatic",,,,
3,22,19,that was fastened by bolts,that it was secured by bolts,,,,
3,22,30,the most joyless chamber it contained,the most depressed of its scenes,,,,
3,22,33,the vulgar street lay beyond it,the vulgar street lay beyond,,,,
3,22,34,"A crude, cold rain was falling heavily; the spring-time presented itself as a questionable improvement.","A crude, cold rain fell heavily; the spring-time was indeed an appealóand it seemed a cynical, insincere appealóto patience.",,,,
3,22,35,"Isabel, however, gave as little attention as possible to the incongruities of the season","Isabel, however, gave as little heed as possible to cosmic treacheries",,,,
3,23,7,some one was walking about the library,some one was moving in the library,,,,
3,23,9,a person from whom she had reason to expect a visit;,"a person from whom she was looking for a visit,",,,,
3,23,16,"she had a sharp, but not an unpleasant, face",she had a face with a good deal of rather violent point,,,,
3,23,17,"""Oh,"" she said","""Oh,"" she began",,TRUE,,
3,23,17,And she looked about,She looked about,,TRUE,,
3,23,20,and the visitor continued,while the visitor continued,,,,
3,23,28,"And then, while the girl stood there, hesitating and wondering","And then, since the girl stood there hesitating and wondering",,,,
3,23,35,I am not crazy.,I'm not at all crazy: I haven't a delusion!,,,,
3,24,9,she addressed not a word,she had addressed not a word,,,,
3,24,16,any account of them that she should elicit by letter,any account of them she should elicit by letter,,,,
3,24,25,occupying the mansion,occupying the old place,,,,
3,24,27,do you expect to get for it ,do you expect for it,,,,
3,24,27,Mrs. Touchett asked of the girl,Mrs. Touchett asked of her companion,,TRUE,,
3,24,34,"In point of fact, what have you inherited?",What have you in point of fact inherited?,,,,
3,25,2,"I suspect, it will bring a high price","I dare say, it will bring a high price",,,,
3,25,10,"said the girl, rather strangely.",the girl rather strangely returned.,,TRUE,,
3,25,26,"I will take you there,"" Mrs. Touchett rejoined.","I'll take you there,"" Mrs. Touchett declared.",,,,
3,25,28,"The girl's emotion deepened; she flushed a little, and smiled at her aunt in silence.",Our young woman's emotion deepened; she flushed a little and smiled at her aunt in silence.,,,,
3,25,30,"No, you don't look like a young lady of that sort.","No, you don't look like a person of that sort.",,,,
3,25,36,found her a strange and interesting person,found her a strange and interesting figure: a figure essentiallyóalmost the first she had ever met,,,,
3,26,2,she had thought of them as disagreeable,she had thought of them as offensive or alarming,,,,
3,26,6,"To her imagination the term had always suggested something grotesque and inharmonious. But her aunt infused a new vividness into the idea, and gave her so many fresh impressions that it seemed to her she had overestimated the charms of conformity. She had never met any one so entertaining","The term had always suggested to her something grotesque and even sinister. But her aunt made it a matter of high but easy irony, or comedy, and led her to ask herself if the common tone, which was all she had known, had ever been as interesting. No one certainly had on any occasion so held her",,,,
3,26,10,striking familiarity of European courts,striking familiarity of the courts of Europe,,,,
3,26,11,"she was fond of social grandeur, and she enjoyed the consciousness","she recognised no social superiors, and, judging the great ones of the earth in a way that spoke of this, enjoyed the consciousness",,,,
3,26,16,"her aunt's answers, whatever they were, struck her as deeply interesting","her aunt's answers, whatever turn they took, struck her as food for deep reflexion",,,,
3,26,20,"""Your sister must be a great gossip,"" she said. ""Is she accustomed to staying out for hours?""ù","""Your sister must be a great gossip. Is she accustomed to staying out so many hours?""ù",,TRUE,,
3,26,21,Isabel answered,Isabel replied,,,,
3,26,24,disposed to be gracious to her niece,disposed to be gracious,,,,
4,27,4,"the ""intellectual"" one","the ""intellectual"" superior",,,,
4,27,5,"Mrs. Keyes, the second sister","Mrs. Keyes, the second of the group",,,,
4,27,7,it will be enough to say,it will suffice,,,,
4,27,12,"the match was not brilliant, any more than Edith's had been","the match was not brilliant, any more than Edith's",,,,
4,27,17,"the mistress of a house which presented a narrowness of new brown stone to Fifty-third Street, she had quite justified her claim to matrimony","the mistress of a wedge of brown stone violently driven into Fifty-third Street, seemed to exult in her condition as in a bold escape",,,,
4,27,18,"She was short and plump, and, as people said, had improved since her marriage;","She was short and solid, and her claim to figure was questioned, but she was conceded presence, though not majesty; she had moreover, as people said, improved since her marriage,",,,,
4,27,23,"""I have never felt like Isabel's sister, and I am sure I never shall,"" she had said to an intimate friend; a declaration which made it all the more creditable that she had been prolific in sisterly offices.","""I've never kept up with Isabelóit would have taken all my time,"" she had often remarked; in spite of which, however, she held her rather wistfully in sight; watching her as a motherly spaniel might watch a free greyhound.",,,,
4,27,25,she frequently remarked to her husband,she frequently noted to her husband,,,,
4,28,4,"the girl's account of Mrs. Touchett's visit,",the girl's account of Mrs. Touchett's appearance,,,,
4,28,4,to comply with her commands,to comply with their aunt's commands,,,,
4,28,5,Of what Isabel said to her,Of what Isabel then said,,,,
4,28,7,her sister's words must have prompted a remark that she made to her husband in the conjugal chamber as the two were getting ready to go to the hotel,her sister's words had doubtless prompted a word spoken to her husband as the two were making ready for their visit,,,,
4,28,11,"Edmund Ludlow asked; ""make her a big present?""ù","Edmund Ludlow asked. ""Make her a big present?""ù",,,,
4,28,13,just the sort of person to appreciate Isabel,just the sort of person to appreciate her,,,,
4,28,20,"""And you want the old lady to take her, is that it?"" her husband asked.","""And you want the old lady to take her, is that it?""ù",,,,
4,28,21,she is dying to have Isabel go!,she's dying to have Isabel go.,,,,
4,28,23,"I am sure that all we have got to do,"" said Mrs. Ludlow, ""is to give her a chance!""ù","I'm sure all we've got to do,"" said Mrs. Ludlow, ""is to give her a chance.""ù",,,,
4,28,26,"""O Jupiter!""ù","""Oh Moses!""ù",,,,
4,28,30,"""Do you know I love you?""ù","""Do you know I love you?""ù",,,,
4,28,33,"whose voice and smile, however, were sweeter than the words she uttered","whose voice and smile, however, were less haughty than her words",,,,
4,29,7,"she at any rate felt busy; busy, I mean, with her thoughts","she at any rate felt different, felt as if something had happened to her",,,,
4,29,8,"she sat a while under the lamp, with empty hands, heedless of her usual avocations","she sat a while under the lamp, her hands empty, her usual avocations unheeded",,,,
4,29,10,"She was restless, and even excited",She was restless and even agitated,,,,
4,29,13,She felt that something had happened to her of which the importance was out of proportion to its appearance,The importance of what had happened was out of proportion to its appearance,,,,
4,29,15,a situation which gave a value to any change,a situation that gave a value to any change,,,,
4,29,20,not with a desire to take a nap,not with a desire for dozing forgetfulness,,,,
4,29,21,"On the contrary, it was because she felt too wide-awake,",It was on the contrary because she felt too wide-eyed,,,,
4,29,23,"if the door were not opened to it, it jumped out of the window",when the door was not open it jumped out of the window,,,,
4,29,32,a very fortunate girl,a very fortunate person,,,,
4,29,35,anything particularly disagreeable,anything particularly unpleasant,,,,
4,29,36,the disagreeable had been even too absent,the unpleasant had been even too absent,,,,
4,30,5,It was a great good fortune to have been his daughter; Isabel was even proud of her parentage.,It was a great felicity to have been his daughter; Isabel rose even to pride in her parentage.,,,,
4,30,7,"she had gathered a vague impression that he turned his brighter side to his children, and that he had not eluded discomfort",she had seemed to see him as turning his braver side to his children and as not having managed to ignore the ugly,,,,
4,30,9,to have to think that he was too generous,to have to suppose him too generous,,,,
4,30,11,Many persons thought that he carried this indifference too far;,"Many persons had held that he carried this indifference too far,",,,,
4,30,14,while they admitted that the late Mr. Archer had a remarkably handsome head,while they had recognised in the late Mr. Archer a remarkably handsome head,,,,
4,30,16,they declared that he had made a very poor use of his life,they had declared that he was making a very poor use of his life,,,,
4,30,22,been sent to strange schools kept by foreigners,"been sent to superficial schools, kept by the French",,,,
4,30,25,her opportunities had been abundant,her opportunities had been large,,,,
4,30,27,"a French bonne, who eloped with a Russian nobleman,",a French bonne who had eloped with a Russian nobleman,,,,
4,30,29,a picturesque episode,a romantic episode,,,,
4,30,35,a few months' view of foreign lands;,a few months' view of the subject proposed:,,,,
4,31,2,"for among his three daughters she was quite his favourite, and in his last days","for she was the member of his trio who most ""made up"" to him for the disagreeables he didn't mention. In his last days",,,,
4,31,4,was sensibly modified,had been sensibly modified,,,,
4,31,11,much more popular,much more fetching,,,,
4,31,14,the moderate character of her own triumphs,the limits of her own power to frisk and jump and shriekóabove all with rightness of effect,,,,
4,31,17,thinking all the others a parcel of fools,thinking all the others Êsthetic vulgarians,,,,TRUE
4,31,28,to abstain from quotation,to abstain from showy reference,,,,
4,31,33,the movements of her own heart,the movements of her own soul,,,,
4,32,1,a class of efforts to which she had often gone so far as to forgive much bad painting,a class of efforts as to which she had often committed the conscious solecism of forgiving them much bad painting,,,,TRUE
4,32,5,the circumspection of the local youth,the circumspection of suspicious swains,,,,
4,32,7,the proportion of those whose hearts,the number of those whose hearts,,,,
4,32,9,"to make it a sensible pleasure, was sufficient to redeem her maidenly career from failure","to remind them they had heads as well, had kept her unacquainted with the supreme disciplines of her sex and age",,,,
4,32,10,"everything that a girl could have: kindness, admiration, flattery, bouquets","everything a girl could have: kindness, admiration, bonbons, bouquets",,,,
4,32,13,"the latest publications, plenty of new dresses, the London Spectator, and a glimpse of contemporary Êsthetics","plenty of new dresses, the London Spectator, the latest publications, the music of Gounod, the poetry of Browning, the prose of George Eliot",,,TRUE,TRUE
4,32,24,"He sometimes wrote to Isabel, and he had lately written to her from New York.",He sometimes wrote to her and had within a week or two written from New York.,,,,
4,32,26,"Nevertheless, now that she learned he was there,","Now that she learned he was there, nevertheless,",,,,
4,32,29,"was, indeed, quite a magnificent young man; he filled her with a certain feeling of respect which she had never entertained for any one else.","was indeed quite a splendid young man; he inspired her with a sentiment of high, of rare respect. She had never felt equally moved to it by any other person.",,,,
4,32,34,she was still at the capital,she was still at the State capital,,,,
4,32,35,a certain feeling of embarrassment,a new sense of complications,,,,
4,33,2,"He was not especially good-looking,","He was not romantically, he was much rather obscurely, handsome;",,,,
4,33,3,"which it rewarded or not,",which it rewarded,,,,
4,33,4,in a blue eye of remarkable fixedness,"in blue eyes of remarkable fixedness, the eyes of a complexion other than his own,",,,,
4,33,6,"but, nevertheless, an hour later","in spite of which, in half an hour",,,,
4,33,9,"He was not, however, a man to be discouraged by a defeat.","He was not, it may be added, a man weakly to accept defeat.",,,,
5,34,11,in her thoughts his turn always came after the care of her house and her conservatory (she was extremely fond of flowers),"in her thoughts and her thoroughly arranged and servanted life his turn always came after the; other nearest subjects of her solicitude, the various punctualities of performance of the; workers of her will",,,,
5,34,15,she remarked,remarked,,,,
5,34,17,she also might have broken down,she also might have given way,,,,
5,34,18,"the idea of his mother breaking down,","the idea of his mother's giving way,",,,,
5,34,19,his own enfeebled condition,his own infirmity,,,,
5,34,22,who was a native of Rutland,a native of Rutland,,,,
5,34,24,"in a banking-house, in which some ten years later he acquired a preponderant interest",in a banking-house where some ten years later he gained preponderant control,,,,
5,34,26,"he took a simple, cheerful, and eminently practical view","he took a simple, sane and accommodating view",,,,
5,34,28,"he had no intention of turning Englishman, nor had he any desire to convert his only son to the same sturdy faith","he had no intention of disamericanising, nor had he a desire to teach his only son any such subtle art",,,,TRUE
5,34,31,"It had been for himself so very soluble a problem to live in England, and yet not be of it, that it seemed to him equally simple that after his death his lawful heir should carry on the bank in a pure American spirit.",It had been for himself so very soluble a problem to live in England assimilated yet unconverted that it seemed to him equally simple his lawful heir should after his death carry on the grey old bank in the white American light.,,,,
5,34,31,He took pains to cultivate this spirit,He was at pains to intensify this light,,,,
5,35,2,an American college,an American university,,,,
5,35,3,as even redundantly national,as even redundantly native,,,,
5,35,8,naturally inclined to jocosity,naturally inclined to adventure,,,,
5,35,16,to put the ocean (which he detested) permanently between himself and the old man,to put a watery waste permanently between himself and the old man,,,,
5,35,18,"Ralph was not only fond of his father, but he admired him","Ralph was not only fond of his father, he admired him",,,,
5,35,20,"though he himself had no great fancy for the banking business,",though he himself had no aptitude for the banking mystery,,,,
5,35,22,it was the old man's effective simplicity,"it was the fine ivory surface, polished as by the English air, that the old man had opposed to possibilities of penetration",,,,
5,35,24,he had put into his son's hands,he had placed in his son's hands,,,,
5,35,30,"Mr. Touchett had given evidence of this talent only up to a certain point. He had made himself thoroughly comfortable in England, but he had never attempted to pitch his thoughts in the English key.",Mr. Touchett had made of the very limits of his pliancy half the ground of his general success.,,,,
5,35,31,"He had retained many characteristics of Rutland, Vermont",He had retained in their freshness most of his marks of primary pressure,,,,
5,35,36,"At the end of his life, especially, he was a gentle, refined, fastidious old man, who combined consummate shrewdness with a sort of fraternising good humour, and whose feeling about his own position in the world was quite of the democratic sort.","At the end of his life he had become, on his own ground, as mellow as he was rich; he combined consummate shrewdness with the disposition superficially to fraternize, and his ""social position,"" on which he had never wasted a care, had the firm perfection of an unthumbed fruit.",,,,
5,36,6,"There were certain differences he never perceived, certain habits he never formed, certain mysteries he never understood.","There were certain differences he had never perceived, certain habits he had never formed, certain obscurities he had never sounded.",,,,
5,36,6,on the day that he had understood them,on the day he had sounded them,,,,
5,36,8,after which he found himself mounted on a high stool,after which he had found himself perched on a high stool,,,,
5,36,14,he became conscious that he was seriously out of health,he had become aware of his being seriously out of health,,,,
5,36,16,threw them into extreme embarrassment,threw them into dire confusion,,,,
5,36,17,embrace the sorry occupation known as taking care of one's self,"apply, to the letter, the sorry injunction to take care of himself",,,,
5,36,19,At first he was greatly disgusted; it appeared to him that it was not himself in the least that he was taking care of,At first he slighted the task; it appeared to him it was not himself in the least he was taking care of,,,,
5,36,22,and even undemonstrative respect,even an undemonstrative respect,,,,
5,36,26,"it usually seemed to him to be his reputation for common senseó devoted to his unattractive prot√©g√© an amount of attention of which note was duly taken,",it usually struck him as his reputation for ordinary witódevoted to his graceless charge an amount of attention of which note was duly taken,,,,
5,36,28,he was assured that he might,he was assured he might,,,,
5,36,29,betake himself to one of those climates,betake himself to those climates,,,,
5,36,34,"He had grown extremely fond of London, and cursed this immitigable necessity; but at the same time that he cursed, he conformed, and gradually, when he found that his sensitive organ was really grateful for such grim favours, he conferred them with a better grace.","As he had grown extremely fond of London, he cursed the flatness of exile: but at the same time that he cursed he conformed, and gradually, when he found his sensitive organ grateful even for grim favours, he conferred them with a lighter hand.",,,,
5,36,36,when it snowed,when it had snowed overnight,,,,
5,37,2,A certain fund of indolence that he possessed came to his aid and helped to reconcile him to doing nothing; for at the best he was too ill for anything but a passive life.,A secret hoard of indifferenceólike a thick cake a fond old nurse might have slipped into his first school outfitócame to his aid and helped to reconcile him to sacrifice; since at the best he was too ill for aught but that arduous game.,,,,
5,37,4,he had given up nothing,he had at least not renounced the field of valour,,,,
5,37,6,to remind him that the finest pleasures of life are to be found in the world of action,and remind him that the finest of pleasures is the rush of action,,,,
5,37,12,this history opens; he had on this occasion,this history opens: he had on that occasion,,,,
5,37,14,"He reached it more dead than alive,",He arrived more dead than alive,,,,
5,37,18,but that it was also open to him,yet that it was also open to him,,,,
5,37,22,it seemed to him that the delights of observation had never been suspected,it seemed to him the joys of contemplation had never been sounded,,,,
5,37,25,to struggle with a good deal of native indifference,to struggle in the same breast with bursts of inspiring self-criticism,,,,
5,37,26,His friends at present found him much more cheerful,His friends at present judged him more cheerful,,,,
5,37,28,The truth was that he had simply accepted the situation.,His serenity was but the array of wild flowers niched in his ruin.,,,,
5,37,32,It was very probable this sweet-tasting property of observation to which I allude (for he found himself in these last years much more inclined to notice the pleasant things of the world than the others) that was mainly concerned in Ralph's quickly-stirred interest in the arrival of a young lady,It was very probably this sweet-tasting property of the observed thing in itself that was mainly concerned in Ralph's quicklystirred interest in the advent of a young lady,,,,
5,37,33,If he were observantly disposed,If he was consideringly disposed,,,,
5,38,8,"It may be added, somewhat crudely, that the liberty of falling in love had a place in Ralph Touchett's programme. This was of course a liberty to be very temperately used; for though the safest form of any sentiment is that which is conditioned upon silence, it is not always the most comfortable, and Ralph had forbidden himself the art of demonstration. But conscious observation of a lovely woman had struck him as the finest entertainment that the world now had to offer him, and if the interest should become poignant, he flattered himself that he could carry it off quietly, as he had carried other discomforts. He speedily acquired a conviction, however, that he was not destined to fall in love with his cousin.","It may be added, in summary fashion, that the imagination of lovingóas distinguished from that of being lovedóhad still a place in his reduced sketch. He had only forbidden himself the riot of expression. However, he shouldn't inspire his cousin with a passion, nor would she be able, even should she try, to help him to one.",,,TRUE,TRUE
5,38,11,Mrs. Touchett hesitated a little.,Mrs. Touchett was prompt.,,,,
5,38,20,"""I mean to take her to Paris, to get her some clothes.""ù","""I mean to take her to Paris. I mean to get her clothing.""ù",,,,
5,38,28,as a girl that suggests compassion,as inviting compassion,,,,
5,38,29,what your duty will direct you to do,where you see your duty,,,,
5,38,30,It will direct me to show her four European countries,In showing her four European countries,,,,
5,38,31,to give her the opportunity,in giving her the opportunity,,,,
5,38,34,even giving her the choice,even allowing her the choice,,,,
5,39,1,that she is a gifted being?,she's a gifted being?,,,,
5,39,7,I don't think Isabel finds me one.,I don't think she finds me one.,,,,
5,39,7,but this one is too clever,but Isabel's too clever,,,,
5,39,8,I think I amuse her a good deal.,I think I greatly amuse her.,,,,
5,39,8,"We get on very well, because I understand her",We get on because I understand her,,,,
5,39,12,to expect of you!,to expect of you!,,,,
5,39,14,"""Do you think her very pretty?""ù","""Do you think her so very pretty?""ù",,,,
5,39,22,"I told her, she seemed very grateful for the hint",I left her no doubt of it she seemed very grateful for the service,,,,
5,39,22,I shouldn't have told her,I shouldn't have enlightened her,,,,
5,39,27,she is very much mistaken,she's ridiculously mistaken,,,,
5,39,29,there is no more becoming ornament than an attractive niece,"there's no greater convenience, in some ways, than an attractive niece",,,,
5,39,34,There are two other sisters,There are two others of them,,,,
5,40,6,"a sort of land of emigration,","a land of emigration, of rescue,",,,,
5,40,12,"this judicious account of his pretty cousin, by which his interest in her was not impaired","this judicious report, by which his interest in the subject of it was not impaired",,,,
5,40,15,but you will be wrong.,"but you'll be wrong. You won't, I think, in any way, be easily right about her.",,,,
5,40,16,"""Warburton is wrong, then!"" Ralph Touchett exclaimed.","""Warburton's wrong then!"" Ralph rejoicingly exclaimed.",,,,
5,40,26,looked out of the window a little,looked out of the window,,,,
5,40,30,"""You have another quarter of an hour, then; tell me some more about Isabel."" But Mrs. Touchett","""You've another quarter of an hour then. Tell me some more about Isabel."" After which, as Mrs. Touchett",,,,
5,40,32,"""Well,"" said Ralph,","""Well,"" he pursued,",,,,
5,41,2,you have never troubled any one.,you have never troubled any one. It takes trouble to do that.,,,,
5,41,9,everything that she chooses,everything she chooses,,,,
5,41,12,character was independent,character's independent,,,,
5,41,13,I mean by my telegrams,I mean in my telegrams,,,,
5,41,22,"time-stained oak which was one of the most striking ornaments of Gardencourt. ""You have no plan of marrying her?"" he said, smiling.","timeblackened oak which was one of the most striking features of Gardencourt. ""You've no plan of marrying her?"" he smiled.",,,,TRUE
5,41,23,Marry her?,Marrying her?,,,,
5,41,26,a young man in Bostonó,a young man in Bostonó!,,,,
5,41,28,"""As my father says,"" he exclaimed, ""they are always engaged!""ù","""As my father says, they're always engaged!""ù",,,,
5,41,31,"he must extract his information about his cousin from the girl herself, and it soon became evident to him that he should not want for opportunity","he must satisfy his curiosity at the source, and it soon became evident he should not want for occasion",,,,
5,41,33,"He had, for instance, a good deal of talk with her that same evening, when the two had been left alone together in the drawing-room.",He had a good deal of talk with his young kinswoman when the two had been left together in the drawing-room.,,,,
5,41,36,"an hour after this meal was concluded, Mr. and Mrs. Touchett, who appeared to have exhausted each other's conversation, withdrew","an hour after this meal was ended Mr. and Mrs. Touchett, who appeared to have quite emptied the measure of their forms, withdrew",,,,
5,42,3,she appeared to have no sense of weariness,she appeared in no degree spent,,,,
5,42,4,knew that she should pay for it,knew she should pay for it,,,,
5,42,5,"to carry fatigue to the furthest point,",to carry exhaustion to the furthest point,,,,
5,42,6,when dissimulation had become impossible,when dissimulation broke down,,,,
5,42,7,For the present it was perfectly possible; she was interested and excited.,"A fine hypocrisy was for the present possible; she was interested; she was, as she said to herself, floated.",,,,
5,42,9,a great many of them in the house,a great many in the house,,,,
5,42,9,The best of them,The best,,,,
5,42,13,the visit might have been deferred till the morrow,the visit might have stood over to the morrow,,,,
5,42,17,she knew that she was eager and that she seemed so; but she could not help it,she knew she was eager and now seemed so; she couldn't help it,,,,
5,42,18,her eagerness amused,her pressure amused,,,,
5,42,21,a shining on the polished floor,a sheen on the polished floor,,,,
5,42,23,"Isabel, bending toward one picture after another","Isabel, inclining to one picture after another",,,,TRUE
5,42,27,in the middle of the gallery,in the middle of the place,,,,TRUE
5,42,28,her figure,her presence,,,,
5,42,32,"She was thin, and light, and middling tall; when people had wished to distinguish her from the other two Miss Archers, they always called her the thin one.","She was undeniably spare, and ponderably light, and proveably tall; when people had wished to distinguish her from the other two Miss Archers they had always called her the willowy one.",,,,
5,42,34,"her light grey eye, a little too keen perhaps in her graver moments, had an enchanting softness when she smiled","her light grey eyes, a little too firm perhaps in her graver moments, had an enchanting range of concession",,,,
5,43,3,"her cousin answered, laughing",her cousin returned,,,,
5,43,4,"""I think I have; most girls seem to me so ignorant,"" said Isabel.","""I think I have; most girls are horridly ignorant.""ù",,,,
5,43,7,"""Ah, some girls are so nice,"" murmured Isabel, who preferred not to talk about herself.","""Ah, some of them wouldóbut the way they're talked to!"" murmured Isabel, who preferred not to dilate just yet on herself.",,,,
5,43,8,"she went on, ""Please tell meóisn't there a ghost?""ù","""Please tell meóisn't there a ghost?"" she went on.",,,,
5,43,10,"""A spectre, a phantom; we call them ghosts in America.""ù","""A castlespectre, a thing that appears. We call them ghosts in America.""ù",,,,
5,43,13,It's not a romantic house,It's not a romantic old house,,,,
5,43,14,It's dismally prosaic,It's a dismally prosaic one,,,,
5,43,29,the gentleman that was on the lawn,the gentleman on the lawn,,,,
5,43,34,"""You can't do better than that; he is a dear old man.""ù","""You can't do better than that. He's the dearest of the dear.""ù",,,,
5,44,2,I am said to be too theoretic,I'm said to have too many theories,,,,
